Organization,Industry,Breach_Type,Records_Compromised,Detection_Days,Total_Cost_USD,Compliance_Standard,Breach_Year,Industry_encoded,Breach_Type_encoded,Compliance_encoded,High_Cost
"Parker, Jackson and Charles",Finance,DDoS,614761,363,215598,PCI-DSS,2020,1,1,3,0
Sanford-Morris,Finance,DDoS,869894,310,721012,,2019,1,1,5,1
Baker-Figueroa,Government,DDoS,614905,233,336519,GDPR,2017,2,1,1,0
Bryant-Cook,Finance,Insider Threat,589838,265,378086,HIPAA,2022,1,2,2,0
Cooper-Mcdonald,Technology,Malware,534770,344,297336,,2021,5,3,5,0
George Group,Retail,Credential Theft,922041,37,640237,CCPA,2017,4,0,0,1
"Haynes, Lopez and Scott",Technology,Credential Theft,726431,305,194814,HIPAA,2020,5,0,2,0
Martin-Hart,Retail,Insider Threat,457928,41,623574,PCI-DSS,2018,4,2,3,1
Pena-Reyes,Retail,Credential Theft,745815,17,708902,,2019,4,0,5,1
King Group,Finance,DDoS,62029,344,607435,SOX,2019,1,1,4,1
Saunders-Macdonald,Education,Ransomware,757871,277,642525,CCPA,2021,0,5,0,1
Moran Group,Healthcare,Phishing,752978,307,651909,,2019,3,4,5,1
"Campbell, Williams and Boone",Finance,Malware,885396,59,310115,GDPR,2017,1,3,1,0
Shaw-Smith,Finance,Malware,667789,183,786946,CCPA,2024,1,3,0,1
"Curtis, Dougherty and Nguyen",Education,Insider Threat,781065,41,407984,,2019,0,2,5,0
Reeves-Sexton,Healthcare,Malware,287413,39,486722,GDPR,2021,3,3,1,0
Lowery and Sons,Technology,DDoS,87568,192,433472,CCPA,2019,5,1,0,0
Green Ltd,Government,Credential Theft,34694,267,598308,GDPR,2019,2,0,1,1
Marsh-Richardson,Government,DDoS,994561,147,392392,GDPR,2023,2,1,1,0
Chung LLC,Technology,Insider Threat,191803,333,513383,CCPA,2017,5,2,0,1
"Peterson, Washington and Smith",Finance,DDoS,45133,127,252931,CCPA,2020,1,1,0,0
"Carey, Hodge and Morgan",Healthcare,Credential Theft,587521,46,732933,GDPR,2015,3,0,1,1
Gray Group,Finance,Ransomware,990769,45,634148,PCI-DSS,2024,1,5,3,1
Weber-Wilson,Retail,Insider Threat,73961,1,441548,CCPA,2019,4,2,0,0
"Pierce, Crane and Potter",Finance,Ransomware,707750,168,406170,,2022,1,5,5,0
"Murillo, Nicholson and Carroll",Finance,Phishing,293994,108,628925,HIPAA,2019,1,4,2,1
"Garcia, Reed and Valenzuela",Technology,Ransomware,564849,19,358541,SOX,2023,5,5,4,0
Armstrong-Jackson,Technology,Phishing,467116,332,525073,GDPR,2020,5,4,1,1
Gilbert Ltd,Technology,Phishing,78322,72,732279,GDPR,2022,5,4,1,1
Fleming-Smith,Government,Ransomware,636408,109,337748,SOX,2024,2,5,4,0
"Wallace, Jenkins and Phillips",Retail,Insider Threat,810758,268,573720,PCI-DSS,2022,4,2,3,1
Bradley-Gonzalez,Technology,Credential Theft,793253,240,563145,SOX,2017,5,0,4,1
Schmitt PLC,Healthcare,DDoS,973758,301,480532,CCPA,2021,3,1,0,0
Orozco-Ward,Government,DDoS,544997,90,399242,SOX,2021,2,1,4,0
Hayes-Bowman,Education,Credential Theft,969734,103,742959,GDPR,2024,0,0,1,1
"Bender, Decker and Burke",Healthcare,Phishing,654901,250,380486,SOX,2020,3,4,4,0
Morgan-Rodriguez,Healthcare,Phishing,204081,8,137592,HIPAA,2021,3,4,2,0
"Johnson, Mcclure and Wilson",Technology,Insider Threat,104311,153,628106,,2016,5,2,5,1
"Nolan, Wood and Oneal",Education,Malware,186421,347,259739,CCPA,2023,0,3,0,0
"Meadows, Abbott and Murphy",Education,Ransomware,442211,174,638376,SOX,2024,0,5,4,1
"Day, Crawford and Hudson",Government,Phishing,487789,343,766980,GDPR,2024,2,4,1,1
"Levine, Lewis and Brown",Education,DDoS,923260,158,625949,,2015,0,1,5,1
Spence-Weaver,Retail,Insider Threat,911397,215,714282,CCPA,2015,4,2,0,1
Villarreal-Pratt,Technology,Ransomware,861052,177,904009,GDPR,2017,5,5,1,1
Sutton-Sharp,Education,Insider Threat,457056,175,693352,PCI-DSS,2017,0,2,3,1
"Short, Harrington and Jordan",Government,Ransomware,850841,340,566114,HIPAA,2015,2,5,2,1
"Lee, Hatfield and White",Retail,Ransomware,30084,338,826789,PCI-DSS,2021,4,5,3,1
Galvan Inc,Finance,Credential Theft,643335,146,850955,HIPAA,2018,1,0,2,1
Cruz-Jones,Finance,Phishing,729282,324,853754,SOX,2024,1,4,4,1
Allison and Sons,Retail,Insider Threat,6001,161,401571,CCPA,2016,4,2,0,0
Ross PLC,Government,Insider Threat,162724,127,229196,SOX,2024,2,2,4,0
"Rivers, Stewart and Hall",Retail,Credential Theft,222417,82,389361,HIPAA,2019,4,0,2,0
Carter-Bishop,Technology,DDoS,293299,147,640728,HIPAA,2020,5,1,2,1
"Stone, Trevino and Key",Technology,DDoS,693145,239,531831,HIPAA,2023,5,1,2,1
Jenkins-Morris,Finance,Phishing,991569,84,458703,,2018,1,4,5,0
"Johnston, Lopez and Jackson",Education,Phishing,145888,113,612096,GDPR,2016,0,4,1,1
Pruitt and Sons,Government,Malware,638487,225,205838,CCPA,2019,2,3,0,0
Hansen Group,Finance,Credential Theft,535526,332,528233,SOX,2017,1,0,4,1
Edwards PLC,Education,DDoS,690758,243,723691,SOX,2016,0,1,4,1
Jennings-Scott,Education,Ransomware,968716,143,609863,PCI-DSS,2015,0,5,3,1
Harris-Medina,Technology,Insider Threat,23529,41,638361,HIPAA,2024,5,2,2,1
"Gordon, Edwards and Mason",Healthcare,Phishing,574588,258,819474,HIPAA,2016,3,4,2,1
"Fox, Peterson and Price",Healthcare,Insider Threat,202480,285,486771,HIPAA,2020,3,2,2,0
Jones Group,Retail,Insider Threat,441560,105,369381,SOX,2022,4,2,4,0
"Adams, Trujillo and Garza",Technology,Malware,772677,202,737903,PCI-DSS,2017,5,3,3,1
"Schultz, Bradley and Moon",Education,DDoS,245227,307,734224,GDPR,2023,0,1,1,1
Davis Group,Government,Phishing,887800,331,611658,,2023,2,4,5,1
"Larson, Jennings and Greene",Healthcare,Insider Threat,760901,266,467925,CCPA,2016,3,2,0,0
"Orr, Gonzalez and Arnold",Education,Phishing,17447,210,500275,GDPR,2022,0,4,1,1
Poole PLC,Healthcare,Ransomware,672380,51,244645,SOX,2024,3,5,4,0
Jensen Group,Healthcare,Malware,556210,118,722589,,2019,3,3,5,1
Gould PLC,Healthcare,Ransomware,964263,201,715530,,2018,3,5,5,1
Yoder LLC,Government,Phishing,564496,39,237663,,2024,2,4,5,0
"Smith, Lyons and Rogers",Technology,Phishing,915487,28,673526,HIPAA,2019,5,4,2,1
Smith-Humphrey,Government,DDoS,482415,259,580820,CCPA,2018,2,1,0,1
Kelly Ltd,Finance,Insider Threat,8067,84,295605,SOX,2022,1,2,4,0
Carney LLC,Education,Insider Threat,897251,155,258799,SOX,2018,0,2,4,0
Johnson PLC,Technology,Ransomware,536259,117,574698,,2024,5,5,5,1
"Rivers, Jones and Chen",Technology,Malware,225471,2,420459,SOX,2020,5,3,4,0
Mccormick-Johnson,Technology,Credential Theft,208624,93,863989,CCPA,2016,5,0,0,1
Hall Ltd,Technology,Insider Threat,729730,166,690519,CCPA,2019,5,2,0,1
Charles-Frank,Government,DDoS,164785,350,594738,PCI-DSS,2020,2,1,3,1
Jackson and Sons,Technology,Ransomware,552567,296,604615,PCI-DSS,2019,5,5,3,1
"West, Higgins and Hall",Retail,Ransomware,251637,258,766173,GDPR,2016,4,5,1,1
Alvarez-Zimmerman,Education,Credential Theft,707648,81,669303,CCPA,2021,0,0,0,1
"Williamson, Torres and Love",Technology,DDoS,841631,268,599953,CCPA,2018,5,1,0,1
Ortiz-Phillips,Education,Malware,559650,235,303947,CCPA,2022,0,3,0,0
"Williams, Livingston and Ross",Retail,DDoS,864745,321,1112389,PCI-DSS,2021,4,1,3,1
Martin-Mcclain,Retail,Malware,379651,311,279363,,2021,4,3,5,0
Werner-Rose,Education,DDoS,935872,301,437491,,2023,0,1,5,0
Hall Inc,Healthcare,DDoS,471182,357,169054,SOX,2015,3,1,4,0
Bass and Sons,Finance,Phishing,872801,213,607759,,2024,1,4,5,1
Steele-Tran,Healthcare,Ransomware,60645,62,530222,HIPAA,2020,3,5,2,1
Delgado PLC,Healthcare,DDoS,234655,49,653055,PCI-DSS,2020,3,1,3,1
"Miller, Keller and Gibson",Government,Credential Theft,223994,127,152186,CCPA,2020,2,0,0,0
Simmons-Smith,Healthcare,DDoS,727606,223,722581,,2020,3,1,5,1
Owen Group,Technology,Insider Threat,989570,279,338512,PCI-DSS,2024,5,2,3,0
"Robinson, Parker and Woods",Government,Ransomware,302166,294,470198,,2021,2,5,5,0
"Stevenson, Holden and Reynolds",Government,Insider Threat,996968,284,686314,GDPR,2024,2,2,1,1
White-Simon,Retail,Ransomware,567301,277,552253,CCPA,2020,4,5,0,1
Jimenez Inc,Healthcare,Insider Threat,359277,107,566388,GDPR,2015,3,2,1,1
"Garcia, Moss and Thomas",Retail,DDoS,367036,146,659835,CCPA,2017,4,1,0,1
"Perry, Werner and Spencer",Education,DDoS,250597,99,585758,PCI-DSS,2016,0,1,3,1
Lewis LLC,Finance,Phishing,973281,73,431778,SOX,2020,1,4,4,0
"Lee, Roberts and Day",Government,Credential Theft,443157,122,466706,,2022,2,0,5,0
"Dominguez, Brown and Trevino",Education,Insider Threat,701792,30,542375,,2017,0,2,5,1
Aguirre LLC,Education,Malware,485378,188,320888,HIPAA,2024,0,3,2,0
"Anderson, Smith and Brown",Technology,Phishing,906395,364,699201,GDPR,2022,5,4,1,1
Reynolds-Parker,Finance,Insider Threat,156204,354,557730,,2022,1,2,5,1
Dodson PLC,Education,Insider Threat,693306,288,514955,PCI-DSS,2019,0,2,3,1
Romero PLC,Education,Phishing,714934,195,738499,SOX,2022,0,4,4,1
Escobar Inc,Finance,DDoS,45036,156,475977,PCI-DSS,2020,1,1,3,0
Foster Group,Finance,Insider Threat,685254,172,463515,GDPR,2019,1,2,1,0
Washington-Cordova,Education,DDoS,717048,335,403074,HIPAA,2023,0,1,2,0
"Ortiz, Barry and Anderson",Finance,Phishing,202156,41,568613,,2021,1,4,5,1
Beasley-Lopez,Education,DDoS,967935,63,561690,PCI-DSS,2022,0,1,3,1
"Flowers, Obrien and Morales",Education,Ransomware,225569,23,366743,CCPA,2015,0,5,0,0
Cooper-Hood,Technology,Malware,28241,360,464461,SOX,2016,5,3,4,0
Delgado-Watson,Healthcare,Insider Threat,926678,75,368079,PCI-DSS,2022,3,2,3,0
"Silva, Hernandez and Medina",Education,Credential Theft,137578,48,359026,SOX,2023,0,0,4,0
Levy Group,Retail,Malware,97459,160,154020,,2018,4,3,5,0
"Winters, Reilly and Lloyd",Government,DDoS,909811,313,453817,CCPA,2024,2,1,0,0
"Wilson, Rodriguez and Harrell",Healthcare,Insider Threat,154463,118,159557,HIPAA,2024,3,2,2,0
Green PLC,Healthcare,DDoS,565956,100,407436,HIPAA,2023,3,1,2,0
Lopez-Farmer,Healthcare,Ransomware,621927,167,377461,CCPA,2018,3,5,0,0
"Griffin, Moore and King",Technology,Phishing,571239,290,710379,SOX,2024,5,4,4,1
Green-Bryant,Education,Insider Threat,493258,156,297013,,2024,0,2,5,0
Stephens-Campbell,Technology,Ransomware,579211,7,347762,PCI-DSS,2024,5,5,3,0
Solis-Johnson,Education,Ransomware,23412,196,423695,CCPA,2023,0,5,0,0
"Santiago, Serrano and Davis",Technology,Insider Threat,960712,56,383971,GDPR,2021,5,2,1,0
Richards-Ward,Technology,DDoS,984522,321,773850,SOX,2016,5,1,4,1
Griffin-David,Government,Credential Theft,427487,193,272286,HIPAA,2023,2,0,2,0
Parsons-Moore,Retail,Ransomware,435095,47,424119,CCPA,2018,4,5,0,0
Curtis-Ballard,Technology,Malware,724288,148,566413,HIPAA,2022,5,3,2,1
"Diaz, Gonzalez and Williams",Government,Ransomware,500631,275,676236,SOX,2021,2,5,4,1
Simpson-Jenkins,Finance,Credential Theft,885255,157,423951,HIPAA,2021,1,0,2,0
"Shaw, Boone and Watts",Retail,DDoS,798943,202,116380,CCPA,2022,4,1,0,0
Steele-Scott,Technology,DDoS,496137,126,469979,SOX,2015,5,1,4,0
"Neal, Mata and Hebert",Healthcare,Malware,249162,305,770405,GDPR,2019,3,3,1,1
"Cuevas, Vasquez and Torres",Finance,Ransomware,843541,294,556437,CCPA,2016,1,5,0,1
Weiss PLC,Finance,DDoS,408738,64,547283,PCI-DSS,2016,1,1,3,1
"Michael, Mitchell and Lane",Government,Credential Theft,435784,325,287396,,2015,2,0,5,0
"Parker, Bell and Weeks",Finance,Insider Threat,556759,176,266865,CCPA,2019,1,2,0,0
Park-Gomez,Retail,Phishing,57122,116,503608,SOX,2016,4,4,4,1
Harding PLC,Technology,Phishing,333473,204,214724,,2018,5,4,5,0
Hanson LLC,Technology,Phishing,99171,321,656272,CCPA,2017,5,4,0,1
Ramirez-Reyes,Healthcare,Ransomware,182368,31,330670,GDPR,2017,3,5,1,0
"Sanders, Archer and Carter",Government,Malware,997958,113,495068,GDPR,2016,2,3,1,0
Marquez-Garcia,Healthcare,DDoS,359018,325,122846,PCI-DSS,2020,3,1,3,0
Thompson Group,Finance,Insider Threat,489726,344,421239,HIPAA,2016,1,2,2,0
"Allen, Levy and Baker",Healthcare,Credential Theft,288959,67,262827,,2022,3,0,5,0
Lane-Goodman,Retail,Insider Threat,814137,75,35608,SOX,2022,4,2,4,0
Hammond-Thomas,Technology,Credential Theft,624241,45,608368,SOX,2019,5,0,4,1
Hughes-Thomas,Finance,Ransomware,555562,260,828231,HIPAA,2024,1,5,2,1
Moore-Jones,Healthcare,Phishing,927560,154,725894,GDPR,2021,3,4,1,1
"Jensen, Reed and Williams",Government,Ransomware,497760,155,636338,GDPR,2018,2,5,1,1
Horne-Sanchez,Retail,Malware,76473,363,417175,CCPA,2015,4,3,0,0
"Stephenson, Davis and Cox",Retail,Malware,855784,234,661178,PCI-DSS,2016,4,3,3,1
Curry Group,Healthcare,Credential Theft,193121,51,744770,,2024,3,0,5,1
Gomez-Hayes,Technology,DDoS,193818,306,527364,PCI-DSS,2024,5,1,3,1
Robbins Group,Healthcare,DDoS,594405,262,263127,PCI-DSS,2018,3,1,3,0
Torres PLC,Finance,Credential Theft,63137,315,400123,CCPA,2015,1,0,0,0
Logan-Rivera,Healthcare,Malware,614206,125,840539,PCI-DSS,2022,3,3,3,1
"Garcia, Ortiz and Wilson",Retail,Malware,530936,245,485051,HIPAA,2023,4,3,2,0
Gordon-Glover,Healthcare,Malware,641369,30,-164951,CCPA,2018,3,3,0,0
Thomas Group,Technology,Ransomware,234313,122,206215,HIPAA,2024,5,5,2,0
Knight Group,Government,Malware,204466,125,415110,CCPA,2017,2,3,0,0
"Rojas, Reed and Miller",Education,Insider Threat,502520,37,707165,PCI-DSS,2016,0,2,3,1
Sanchez-Nelson,Healthcare,Phishing,154349,170,445375,HIPAA,2019,3,4,2,0
"Curry, Collier and Brown",Technology,Malware,286266,124,710886,HIPAA,2017,5,3,2,1
Griffith and Sons,Technology,Credential Theft,630685,357,394767,HIPAA,2024,5,0,2,0
"Wells, Moore and Gray",Government,Phishing,661002,35,107141,CCPA,2021,2,4,0,0
Gould-Williams,Retail,Ransomware,222184,87,401687,SOX,2020,4,5,4,0
"Walker, Davis and Kennedy",Technology,Credential Theft,489636,134,568989,PCI-DSS,2015,5,0,3,1
"Dudley, Clements and Moore",Technology,Phishing,60528,196,552390,HIPAA,2022,5,4,2,1
"Payne, Barnes and Clark",Technology,Credential Theft,678200,274,248978,,2016,5,0,5,0
Curry LLC,Technology,Ransomware,321597,201,429760,SOX,2019,5,5,4,0
"Sutton, Espinoza and Baker",Finance,Insider Threat,637520,285,1036934,,2023,1,2,5,1
Shields-Hughes,Finance,Ransomware,187704,77,253346,PCI-DSS,2022,1,5,3,0
Morris Inc,Retail,Ransomware,540440,59,632144,PCI-DSS,2016,4,5,3,1
"Garcia, Smith and Gomez",Healthcare,Credential Theft,100789,126,80664,HIPAA,2023,3,0,2,0
"Warner, Perez and Morse",Technology,DDoS,702536,109,672758,HIPAA,2019,5,1,2,1
"Robles, Ramsey and Carter",Government,Malware,446736,224,321534,CCPA,2024,2,3,0,0
Foster-Patterson,Healthcare,Malware,656131,278,580417,SOX,2020,3,3,4,1
Jones Ltd,Government,Insider Threat,262407,68,241694,SOX,2017,2,2,4,0
Walker-Riley,Healthcare,Insider Threat,303668,69,558170,HIPAA,2017,3,2,2,1
"Clark, Levy and Kramer",Retail,Malware,502854,165,318269,PCI-DSS,2024,4,3,3,0
Patterson-Scott,Technology,DDoS,971348,305,356990,HIPAA,2022,5,1,2,0
"Warren, Hoffman and Snyder",Technology,Malware,463647,162,588397,PCI-DSS,2024,5,3,3,1
"Hartman, Lee and Stout",Education,DDoS,403950,342,413922,PCI-DSS,2024,0,1,3,0
"King, Park and Colon",Government,Insider Threat,135970,309,576076,HIPAA,2016,2,2,2,1
Thompson Ltd,Healthcare,Phishing,284664,343,461831,GDPR,2016,3,4,1,0
"Hill, Price and Cunningham",Healthcare,Credential Theft,510359,42,513498,SOX,2019,3,0,4,1
"Griffin, Bartlett and Peterson",Finance,Insider Threat,644963,354,589017,,2020,1,2,5,1
"Palmer, Fisher and Craig",Education,Insider Threat,782618,109,429996,PCI-DSS,2016,0,2,3,0
"Thomas, Carrillo and Lewis",Finance,Ransomware,291544,51,300790,PCI-DSS,2019,1,5,3,0
Garcia PLC,Finance,Ransomware,876413,250,393537,GDPR,2021,1,5,1,0
Norman-Bradley,Finance,Ransomware,10849,341,739027,,2024,1,5,5,1
"Hall, Simmons and Mcknight",Government,Credential Theft,628519,21,523234,CCPA,2024,2,0,0,1
West-Sherman,Government,Ransomware,680581,300,331020,GDPR,2022,2,5,1,0
Hall-Mendez,Retail,DDoS,915095,139,580312,,2021,4,1,5,1
Cruz-Holloway,Retail,Malware,299731,359,593663,GDPR,2022,4,3,1,1
"Johnson, Burns and Stuart",Finance,Phishing,225119,324,603999,PCI-DSS,2023,1,4,3,1
Holmes Inc,Education,Insider Threat,426677,92,304432,SOX,2019,0,2,4,0
Brown-Barajas,Healthcare,DDoS,807755,280,363521,GDPR,2019,3,1,1,0
Ramos-Lynch,Government,Phishing,597318,125,364634,CCPA,2024,2,4,0,0
Mata-Brooks,Education,DDoS,669516,111,427870,HIPAA,2018,0,1,2,0
"Mcdowell, Rich and Perry",Technology,DDoS,290624,354,607783,,2023,5,1,5,1
Jones Ltd,Government,Insider Threat,812567,139,559236,GDPR,2019,2,2,1,1
Dalton Ltd,Government,Malware,817152,273,575043,GDPR,2016,2,3,1,1
Fuller PLC,Retail,Ransomware,937481,99,770803,CCPA,2024,4,5,0,1
Turner-Pugh,Healthcare,Credential Theft,256653,252,637778,SOX,2022,3,0,4,1
Burton PLC,Healthcare,Malware,448632,338,471639,GDPR,2021,3,3,1,0
Yang PLC,Technology,Credential Theft,719501,104,263222,GDPR,2022,5,0,1,0
Davis Group,Technology,Insider Threat,379604,214,357090,SOX,2017,5,2,4,0
"Keith, Brown and Miller",Government,Insider Threat,53452,249,447658,CCPA,2018,2,2,0,0
Bailey-Wheeler,Finance,Insider Threat,424227,152,665825,,2019,1,2,5,1
Brown-Ward,Retail,Phishing,163956,250,494533,,2020,4,4,5,0
"Hopkins, Goodman and Wu",Retail,Credential Theft,3291,275,368760,GDPR,2015,4,0,1,0
"Mendoza, Morgan and Nguyen",Government,Malware,950764,165,353421,SOX,2018,2,3,4,0
Downs Group,Education,Malware,877068,341,486084,GDPR,2024,0,3,1,0
"Fox, Griffin and Holder",Finance,DDoS,628964,8,677997,HIPAA,2019,1,1,2,1
"Pope, Mooney and Palmer",Government,DDoS,195813,284,818203,,2021,2,1,5,1
Poole PLC,Finance,DDoS,443039,5,458846,PCI-DSS,2019,1,1,3,0
Romero LLC,Finance,Insider Threat,3731,145,491051,HIPAA,2015,1,2,2,0
"Pittman, Thompson and Mendoza",Finance,Malware,137344,101,257211,GDPR,2021,1,3,1,0
Howard-Wright,Government,Credential Theft,304324,164,887838,CCPA,2022,2,0,0,1
Johns-Parker,Retail,Insider Threat,220269,147,219799,,2021,4,2,5,0
"Brown, King and Mccoy",Retail,Phishing,614741,64,734332,PCI-DSS,2018,4,4,3,1
"Burton, Shields and Patel",Finance,DDoS,413597,91,426932,HIPAA,2022,1,1,2,0
Smith Ltd,Education,Insider Threat,553059,117,380126,,2019,0,2,5,0
Taylor PLC,Healthcare,Insider Threat,647199,354,277999,SOX,2024,3,2,4,0
Robinson-Stout,Government,Phishing,706891,267,982009,CCPA,2023,2,4,0,1
Acosta and Sons,Healthcare,Ransomware,222072,310,544298,HIPAA,2024,3,5,2,1
Lopez Ltd,Education,Malware,777599,173,504256,SOX,2019,0,3,4,1
Reed-Castillo,Government,Credential Theft,389978,47,677346,GDPR,2015,2,0,1,1
White PLC,Finance,Ransomware,748421,140,369833,SOX,2023,1,5,4,0
Reynolds LLC,Retail,DDoS,508779,246,500369,HIPAA,2019,4,1,2,1
Santana-Lewis,Healthcare,Insider Threat,421918,149,511267,HIPAA,2020,3,2,2,1
Baxter-Bowman,Technology,Phishing,744249,246,397570,GDPR,2018,5,4,1,0
Gray-Gonzalez,Technology,Phishing,837931,5,739927,SOX,2020,5,4,4,1
Moore LLC,Education,Malware,678932,184,456269,SOX,2022,0,3,4,0
Burns Group,Finance,Ransomware,704690,20,189373,GDPR,2017,1,5,1,0
"Cervantes, Kennedy and Welch",Healthcare,Malware,991220,46,439700,SOX,2019,3,3,4,0
"Lopez, Perry and Welch",Finance,Insider Threat,7199,12,549835,,2016,1,2,5,1
Atkins-Jones,Healthcare,Malware,774074,70,321301,GDPR,2016,3,3,1,0
"Harris, Thomas and Johnson",Education,Credential Theft,418747,17,337081,CCPA,2021,0,0,0,0
Smith Inc,Education,Phishing,580880,147,390748,HIPAA,2024,0,4,2,0
Miller LLC,Technology,Phishing,96822,154,744247,CCPA,2024,5,4,0,1
Cox-Bowman,Finance,DDoS,965288,304,402568,,2024,1,1,5,0
Morales-White,Government,DDoS,554499,108,785823,,2020,2,1,5,1
"Richmond, Serrano and Clark",Technology,Insider Threat,64036,236,377009,PCI-DSS,2018,5,2,3,0
"Bray, Fuller and Brooks",Finance,Credential Theft,678074,308,565002,PCI-DSS,2019,1,0,3,1
Johnson Ltd,Technology,Ransomware,223432,352,410751,PCI-DSS,2015,5,5,3,0
Fitzpatrick-Bright,Government,Malware,959595,70,650816,GDPR,2021,2,3,1,1
Lewis PLC,Retail,Insider Threat,725936,183,276345,SOX,2022,4,2,4,0
Stone Group,Retail,DDoS,773419,250,648571,,2023,4,1,5,1
"Gonzales, Ford and Baker",Retail,Malware,323164,228,522773,CCPA,2022,4,3,0,1
Sanchez PLC,Retail,DDoS,487610,102,372001,CCPA,2019,4,1,0,0
Conley-Hall,Healthcare,Malware,63630,75,466755,CCPA,2017,3,3,0,0
"Smith, Allen and Woods",Retail,Ransomware,429540,216,806770,CCPA,2024,4,5,0,1
"Graves, Thomas and Reeves",Government,Insider Threat,270032,203,527568,PCI-DSS,2023,2,2,3,1
"King, Bell and Miller",Education,Malware,552470,192,359454,CCPA,2020,0,3,0,0
"Harvey, Norris and Griffin",Education,Credential Theft,909819,249,259061,SOX,2019,0,0,4,0
"Webster, Baker and Irwin",Healthcare,Phishing,613958,242,601080,PCI-DSS,2017,3,4,3,1
Dean-Mckinney,Retail,Credential Theft,625403,179,539169,CCPA,2020,4,0,0,1
Cole-Sloan,Retail,Credential Theft,732276,219,639004,GDPR,2017,4,0,1,1
"Hayes, Park and Jacobs",Retail,Phishing,870120,82,207555,HIPAA,2024,4,4,2,0
Maldonado-Jenkins,Technology,Credential Theft,147703,92,265547,HIPAA,2020,5,0,2,0
Fisher Ltd,Finance,Malware,874872,175,729375,HIPAA,2018,1,3,2,1
Goodman-Washington,Technology,Malware,618827,239,566268,PCI-DSS,2016,5,3,3,1
"Hess, Nelson and Wright",Finance,Malware,962461,260,606680,CCPA,2022,1,3,0,1
"Hamilton, Martin and Avila",Retail,Phishing,141314,163,307462,,2018,4,4,5,0
Chavez Ltd,Retail,Credential Theft,639441,48,303802,,2023,4,0,5,0
Andrews PLC,Technology,Phishing,572743,329,698251,,2021,5,4,5,1
"Reed, Villa and Johnson",Technology,Malware,403182,328,707675,PCI-DSS,2016,5,3,3,1
"Ramsey, Reed and Ibarra",Finance,Credential Theft,201239,116,282336,SOX,2018,1,0,4,0
"Stewart, Morales and Cline",Education,Credential Theft,759094,337,244125,GDPR,2019,0,0,1,0
Powell Group,Finance,DDoS,649814,337,478281,GDPR,2017,1,1,1,0
Anderson LLC,Technology,DDoS,588415,225,340130,HIPAA,2023,5,1,2,0
"Cox, Thomas and Allen",Government,Ransomware,451222,352,335964,HIPAA,2019,2,5,2,0
Heath Group,Technology,Insider Threat,159310,328,249724,,2016,5,2,5,0
"Black, Avila and Murray",Government,DDoS,92701,147,406313,,2017,2,1,5,0
Glover-Brown,Healthcare,Phishing,30056,63,269061,HIPAA,2023,3,4,2,0
"Burnett, Rollins and Hawkins",Technology,DDoS,238440,294,280919,CCPA,2021,5,1,0,0
"Martin, Turner and Silva",Healthcare,Ransomware,629185,323,559678,SOX,2016,3,5,4,1
Gray Group,Education,Credential Theft,911449,325,488960,SOX,2023,0,0,4,0
Wang Ltd,Finance,Ransomware,912835,13,596975,SOX,2018,1,5,4,1
"Padilla, Sanchez and Davis",Government,Credential Theft,469611,189,170193,SOX,2023,2,0,4,0
Valencia and Sons,Finance,Credential Theft,660899,287,501976,HIPAA,2016,1,0,2,1
Miller-Collier,Healthcare,Insider Threat,964845,208,915127,GDPR,2024,3,2,1,1
Stout-Wise,Government,DDoS,829065,114,425545,HIPAA,2018,2,1,2,0
Murphy-Good,Finance,Phishing,421586,22,664949,SOX,2019,1,4,4,1
Garcia-Bruce,Technology,Phishing,603203,349,663201,HIPAA,2016,5,4,2,1
Andrews-Garcia,Retail,Malware,39379,214,673039,SOX,2024,4,3,4,1
"Russell, Rodriguez and Woods",Healthcare,Credential Theft,372031,171,533332,PCI-DSS,2015,3,0,3,1
Ali LLC,Finance,Phishing,941492,323,613217,,2021,1,4,5,1
"Mcdonald, Weaver and Mueller",Healthcare,Insider Threat,148802,54,639802,GDPR,2024,3,2,1,1
Gonzales LLC,Healthcare,Credential Theft,61163,298,627089,PCI-DSS,2015,3,0,3,1
"Wise, James and Castro",Government,Insider Threat,773987,320,276516,CCPA,2022,2,2,0,0
Henderson-Jacobs,Government,Phishing,254411,126,158523,HIPAA,2017,2,4,2,0
"Barton, Willis and Murphy",Retail,Phishing,652284,277,189283,CCPA,2024,4,4,0,0
Scott-Rivera,Technology,Malware,690604,204,445968,HIPAA,2020,5,3,2,0
Kidd PLC,Healthcare,Phishing,445477,194,618785,,2021,3,4,5,1
Thomas PLC,Finance,Credential Theft,490034,169,279117,PCI-DSS,2024,1,0,3,0
"Myers, Dixon and Tran",Education,Credential Theft,519189,152,684794,,2015,0,0,5,1
"Moss, Cooke and Williams",Healthcare,Credential Theft,746534,35,399544,SOX,2020,3,0,4,0
"Phillips, Golden and Curry",Healthcare,Malware,208532,184,401448,,2021,3,3,5,0
Jackson PLC,Retail,Malware,182151,286,332778,,2020,4,3,5,0
Davis-Perkins,Technology,Phishing,97761,57,123042,SOX,2018,5,4,4,0
Miller-Ferguson,Education,Ransomware,924583,222,545862,HIPAA,2015,0,5,2,1
"Mclaughlin, Black and Taylor",Government,Ransomware,943793,303,842533,SOX,2023,2,5,4,1
Edwards Group,Government,Malware,698060,163,487467,PCI-DSS,2018,2,3,3,0
Haynes-Becker,Finance,Phishing,452876,19,129873,,2021,1,4,5,0
